ID,Route_N,BeginMP,EndMP
1,35,12.00,27.00
2,65,3.00,13.20
3,150,0.00,1000.00
4,148,0.20,19.00
5,224,0.00,1000.00
6,276,35.00,36.00
7,153,0.00,0.00
