DOWFLDNM,DAYGROUP,DAYNAME
FAC_MON,1,Mon
FAC_TUE,1,Tue
FAC_WED,1,Wed
FAC_THU,1,Thu
FAC_FRI,1,Fri
FAC_SAT,1,Sat
FAC_SUN,1,Sun
FAC_WDAVG,2,W1-Tue-Thu
FAC_WEAVG,2,W2-Sat-Sun
FAC_WEMAX,2,MaxWkEnd
