Geography,ByFctrClass,ByATName
Garden City,0,0
Little Cottonwood Canyon,0,0
Big Cottonwood Canyon,0,0
Moab,0,0
South Fork,0,0
Alpine Loop,0,0
Park City,0,0
Washington County,1,0
Statewide,1,1
