FNORDER,FLDNM
1,STATIONGROUP
2,FAC_MON
3,FAC_TUE
4,FAC_WED
5,FAC_THU
6,FAC_FRI
7,FAC_SAT
8,FAC_SUN
9,FAC_WDAVG
10,FAC_WEAVG
11,FAC_WEMAX
12,FAC_JAN
13,FAC_FEB
14,FAC_MAR
15,FAC_APR
16,FAC_MAY
17,FAC_JUN
18,FAC_JUL
19,FAC_AUG
20,FAC_SEP
21,FAC_OCT
22,FAC_NOV
23,FAC_DEC
24,FAC_WIN
25,FAC_SPR
26,FAC_SUM
27,FAC_FAL
28,FAC_MAXMO
29,FAC_MAX
