STATIONGROUP,STATIONGROUPDERIVEDFROM,PORTION
SNB,SNA,0.6667
SNB,SND,0.3333
SNC,SNA,0.3333
SNC,SND,0.6667
XX1,SN7,1.0000
XX2,SND,1.0000
XX3,SNU,1.0000
XX4,SN8,0.3334
XX4,SNF,0.3333
XX4,SNG,0.3333
