STATION,STATIONGROUP
301,301
302,302
303,303
304,304
305,305
306,306
307,307
308,308
309,309
310,310
312,312
313,313
314,314
315,315
316,316
317,317
318,318
319,319
320,320
321,321
322,322
323,323
324,324
325,325
327,327
329,329
332,332
333,333
335,335
340,340
341,341
348,348
349,349
350,350
351,351
353,353
354,354
355,355
362,362
363,363
382,382
400,400
401,401
402,402
403,403
404,404
405,405
406,406
407,407
408,408
409,409
411,411
412,412
414,414
415,415
416,416
418,418
420,420
421,421
424,424
425,425
427,427
430,430
431,431
501,501
502,502
503,503
504,504
506,506
507,507
508,508
509,509
510,510
511,511
512,512
513,513
601,601
602,602
605,605
606,606
609,609
611,611
612,612
613,613
614,614
615,615
616,616
617,617
619,619
620,620
621,621
622,622
623,623
624,624
625,625
626,626
627,627
628,628
629,629
630,630
631,631
632,632
633,633
634,634
635,635
636,636
637,637
638,638
639,639
641,641
642,642
643,643
644,644
645,645
646,646
647,647
648,648
649,649
650,650
651,651
653,653
654,654
655,655
656,656
657,657
658,658
659,659
660,660
661,661
662,662
663,663
665,665
667,667
669,669
670,670
671,671
672,672
674,674
702,702
703,703
704,704
711,711
712,712
713,713
714,714
715,715
716,716
301,ALL
302,ALL
303,ALL
304,ALL
305,ALL
306,ALL
307,ALL
308,ALL
309,ALL
310,ALL
312,ALL
313,ALL
314,ALL
315,ALL
316,ALL
317,ALL
318,ALL
319,ALL
320,ALL
321,ALL
322,ALL
323,ALL
324,ALL
325,ALL
327,ALL
329,ALL
332,ALL
333,ALL
335,ALL
340,ALL
341,ALL
348,ALL
349,ALL
350,ALL
351,ALL
353,ALL
354,ALL
355,ALL
362,ALL
363,ALL
382,ALL
400,ALL
401,ALL
402,ALL
403,ALL
404,ALL
405,ALL
406,ALL
407,ALL
408,ALL
409,ALL
411,ALL
412,ALL
414,ALL
415,ALL
416,ALL
418,ALL
420,ALL
421,ALL
424,ALL
425,ALL
427,ALL
430,ALL
431,ALL
501,ALL
502,ALL
503,ALL
504,ALL
506,ALL
507,ALL
508,ALL
509,ALL
510,ALL
511,ALL
512,ALL
513,ALL
601,ALL
602,ALL
605,ALL
606,ALL
609,ALL
611,ALL
612,ALL
613,ALL
614,ALL
615,ALL
616,ALL
617,ALL
619,ALL
620,ALL
621,ALL
622,ALL
623,ALL
624,ALL
625,ALL
626,ALL
627,ALL
628,ALL
629,ALL
630,ALL
631,ALL
632,ALL
633,ALL
634,ALL
635,ALL
636,ALL
637,ALL
638,ALL
639,ALL
641,ALL
642,ALL
643,ALL
644,ALL
645,ALL
646,ALL
647,ALL
648,ALL
649,ALL
650,ALL
651,ALL
653,ALL
654,ALL
655,ALL
656,ALL
657,ALL
658,ALL
659,ALL
660,ALL
661,ALL
662,ALL
663,ALL
665,ALL
667,ALL
669,ALL
670,ALL
671,ALL
672,ALL
674,ALL
702,ALL
703,ALL
704,ALL
711,ALL
712,ALL
713,ALL
714,ALL
715,ALL
716,ALL
601,CO0
602,CO0
304,CO1
362,CO1
322,CO2
382,CO3
310,CO7
313,CO4
403,CO4
502,CO4
513,CO4
401,CO5
349,CO5
400,CO5
613,CO5
302,CO6
306,CO6
315,CO6
348,CO6
611,CO6
612,CO6
616,CO6
621,CO6
629,CO6
630,CO6
351,CO8
353,CO8
501,CO8
617,CO8
628,CO8
404,CO9
508,CO9
323,COA
615,COB
340,COC
341,COC
301,COD
309,COY
318,COY
307,COZ
614,COE
624,COF
625,COF
619,COG
509,COH
317,COI
421,COJ
605,COK
606,COK
424,COL
