SSNATGROUP,AREATYPE
0-AllAreaTypes,1
0-AllAreaTypes,2
0-AllAreaTypes,3
0-AllAreaTypes,4
0-AllAreaTypes,5
1-Rural,1
2-Transition,2
3-Suburban,3
4-Urban,4
5-CBD,5
