STATIONGROUP,WDFACGROUP,WDATGROUP
WD0,Arterial,1-Rural
WD1,Arterial,2-Transition
WD2,Arterial,3-Suburban
WD3,Arterial,4-Urban
XX5,Arterial,5-CBD
WD4,Canyon,0-AllAreaTypes
XX6,Expressway,1-Rural
WD5,Expressway,2-Transition
WD6,Expressway,3-Suburban
WD7,Expressway,4-Urban
XX7,Expressway,5-CBD
WD8,FreewayI15,1-Rural
WD9,FreewayI15,2-Transition
WDA,FreewayI15,3-Suburban
XX8,FreewayI15,4-Urban
XX9,FreewayI15,5-CBD
WDB,FreewayI215,0-AllAreaTypes
WDC,FreewayI70,0-AllAreaTypes
WDD,FreewayI80,1-Rural
XXA,FreewayI80,2-Transition
WDE,FreewayI80,3-Suburban
WDF,FreewayI80,4-Urban
XXB,FreewayI80,5-CBD
WDG,FreewayI84East,0-AllAreaTypes
WDH,FreewayI84West,0-AllAreaTypes
WDI,FreewayLegacy,0-AllAreaTypes
WDJ,FreewaySR201,0-AllAreaTypes
WDK,FreewayUS40,0-AllAreaTypes
